timestamp,username,location,tweet_text
2026-08-07 14:23:53,@user8606,Industrial District,Traffic is terrible around Industrial District today. Ugh.
2026-08-07 14:24:23,@user9817,Suburbs,Small electrical fire started at the bakery in Suburbs. Needs putting out.
2026-08-07 14:24:40,@user1113,Central Park,Small electrical fire started at the bakery in Central Park. Needs putting out.
2026-08-07 14:24:47,@user4622,Southside,Just got the best coffee in Southside. What a beautiful day!
2026-08-07 14:25:21,@user5455,Downtown,Terrible multi-car crash at Downtown. At least 3 people look badly injured. Send ambulances! #accident
2026-08-07 14:25:42,@user7498,Downtown,Traffic is terrible around Downtown today. Ugh.
2026-08-07 14:26:19,@user6846,Southside,Smell smoke coming from the apartment complex on Southside. Fire alarms are going off!
2026-08-07 14:26:27,@user3619,Main Street,"Explosion heard near Main Street, now there's a massive fire! People are running."
2026-08-07 14:27:13,@user3605,Downtown,Just got the best coffee in Downtown. What a beautiful day!
2026-08-07 14:27:16,@user8132,Industrial District,Roof collapsed at the construction site in Industrial District. Multiple workers trapped and injured.
2026-08-07 14:28:01,@user6608,Old Town,Is something burning in Old Town? Thick black smoke in the sky.
2026-08-07 14:28:46,@user1760,Main Street,Brush fire spreading fast near Main Street due to the high winds. @FireDept
2026-08-07 14:29:41,@user3008,Route 66,Anyone know why the power is out in Route 66?
2026-08-07 14:30:33,@user1608,Main Street,Major explosion at Main Street factory! Massive fire and many people injured. We need fire and medical now!
2026-08-07 14:31:32,@user6639,Central Park,Small electrical fire started at the bakery in Central Park. Needs putting out.
2026-08-07 14:31:33,@user7364,North Hills,Brush fire spreading fast near North Hills due to the high winds. @FireDept
2026-08-07 14:31:37,@user7036,Suburbs,Roof collapsed at the construction site in Suburbs. Multiple workers trapped and injured.
2026-08-07 14:32:15,@user6702,Route 66,Is something burning in Route 66? Thick black smoke in the sky.
2026-08-07 14:32:37,@user7179,Westside,Terrible multi-car crash at Westside. At least 3 people look badly injured. Send ambulances! #accident
2026-08-07 14:32:43,@user1826,Central Park,Just got the best coffee in Central Park. What a beautiful day!
2026-08-07 14:33:17,@user5097,North Hills,Is something burning in North Hills? Thick black smoke in the sky.
2026-08-07 14:33:23,@user3024,North Hills,"Lost dog found near North Hills, please share!"
2026-08-07 14:34:23,@user3596,Westside,Major explosion at Westside factory! Massive fire and many people injured. We need fire and medical now!
2026-08-07 14:35:03,@user1161,Downtown,Anyone know why the power is out in Downtown?
2026-08-07 14:35:42,@user8779,Route 66,"Heart attack suspected at the gym in Route 66. CPR in progress, where is the ambulance?!"
2026-08-07 14:35:52,@user2503,Industrial District,Building collapse in Industrial District due to the fire. Paramedics and Firefighters needed immediately.
2026-08-07 14:36:41,@user6471,Suburbs,Cyclist hit by a truck at the intersection of Suburbs. Looks really bad. @Medical
2026-08-07 14:37:32,@user9067,Industrial District,Smell smoke coming from the apartment complex on Industrial District. Fire alarms are going off!
2026-08-07 14:37:45,@user5271,Southside,"Explosion heard near Southside, now there's a massive fire! People are running."
2026-08-07 14:38:27,@user4944,Downtown,Huge flames seen at the Downtown warehouse! Looks like a 3-alarm fire. #fire #emergency
2026-08-07 14:38:30,@user5176,Main Street,Massive food poisoning outbreak at the festival in Main Street. Dozens of people need hospitalization.
2026-08-07 14:38:56,@user3898,Southside,Anyone know why the power is out in Southside?
2026-08-07 14:39:08,@user6183,Industrial District,Just got the best coffee in Industrial District. What a beautiful day!
2026-08-07 14:39:34,@user1765,North Hills,"Someone collapsed on the sidewalk in North Hills, they aren't breathing! Need a medic ASAP."
2026-08-07 14:39:53,@user3528,Suburbs,Anyone know why the power is out in Suburbs?
2026-08-07 14:40:32,@user8849,Central Park,Traffic is terrible around Central Park today. Ugh.
2026-08-07 14:41:12,@user3869,Westside,"Someone collapsed on the sidewalk in Westside, they aren't breathing! Need a medic ASAP."
2026-08-07 14:42:11,@user6598,Downtown,Huge flames seen at the Downtown warehouse! Looks like a 3-alarm fire. #fire #emergency
2026-08-07 14:42:20,@user5827,Downtown,"Car on fire on Downtown, traffic is completely stopped. Send firetrucks!"
2026-08-07 14:43:17,@user3636,Suburbs,"Heart attack suspected at the gym in Suburbs. CPR in progress, where is the ambulance?!"
2026-08-07 14:43:55,@user8047,Westside,Major explosion at Westside factory! Massive fire and many people injured. We need fire and medical now!
2026-08-07 14:44:11,@user1965,Old Town,Anyone know why the power is out in Old Town?
2026-08-07 14:44:27,@user6684,Industrial District,Brush fire spreading fast near Industrial District due to the high winds. @FireDept
2026-08-07 14:44:54,@user1464,Main Street,Just got the best coffee in Main Street. What a beautiful day!
2026-08-07 14:45:20,@user5717,Main Street,Just got the best coffee in Main Street. What a beautiful day!
2026-08-07 14:45:21,@user8354,Industrial District,Smell smoke coming from the apartment complex on Industrial District. Fire alarms are going off!
2026-08-07 14:46:04,@user7638,Westside,Small electrical fire started at the bakery in Westside. Needs putting out.
2026-08-07 14:46:17,@user8773,Central Park,Building collapse in Central Park due to the fire. Paramedics and Firefighters needed immediately.
2026-08-07 14:46:51,@user6552,Central Park,Massive food poisoning outbreak at the festival in Central Park. Dozens of people need hospitalization.
2026-08-07 14:47:11,@user5295,Downtown,"Car on fire on Downtown, traffic is completely stopped. Send firetrucks!"
2026-08-07 14:47:25,@user5159,Southside,Anyone know why the power is out in Southside?
2026-08-07 14:48:05,@user8048,Downtown,Pedestrian struck by a speeding car in Downtown. Needs immediate medical attention!
2026-08-07 14:48:51,@user8222,Downtown,Roof collapsed at the construction site in Downtown. Multiple workers trapped and injured.
2026-08-07 14:48:57,@user4090,Central Park,Building collapse in Central Park due to the fire. Paramedics and Firefighters needed immediately.
2026-08-07 14:49:06,@user2915,North Hills,Anyone know why the power is out in North Hills?
2026-08-07 14:49:26,@user3202,Westside,Traffic is terrible around Westside today. Ugh.
2026-08-07 14:49:37,@user9760,Westside,Smell smoke coming from the apartment complex on Westside. Fire alarms are going off!
2026-08-07 14:50:06,@user9281,Downtown,"Explosion heard near Downtown, now there's a massive fire! People are running."
2026-08-07 14:50:55,@user5305,North Hills,Just got the best coffee in North Hills. What a beautiful day!
2026-08-07 14:51:44,@user9291,Suburbs,"Car on fire on Suburbs, traffic is completely stopped. Send firetrucks!"
2026-08-07 14:52:17,@user7751,Route 66,"Explosion heard near Route 66, now there's a massive fire! People are running."
2026-08-07 14:52:34,@user4323,Central Park,Roof collapsed at the construction site in Central Park. Multiple workers trapped and injured.
2026-08-07 14:53:13,@user5985,Westside,Anyone know why the power is out in Westside?
2026-08-07 14:54:08,@user8158,Main Street,Building collapse in Main Street due to the fire. Paramedics and Firefighters needed immediately.
2026-08-07 14:54:19,@user6039,Southside,Just got the best coffee in Southside. What a beautiful day!
2026-08-07 14:55:03,@user6119,Main Street,Massive food poisoning outbreak at the festival in Main Street. Dozens of people need hospitalization.
2026-08-07 14:55:44,@user6065,Main Street,"Explosion heard near Main Street, now there's a massive fire! People are running."
2026-08-07 14:56:14,@user2097,Central Park,"Lost dog found near Central Park, please share!"
2026-08-07 14:57:05,@user1368,Old Town,Terrible multi-car crash at Old Town. At least 3 people look badly injured. Send ambulances! #accident
2026-08-07 14:57:19,@user2422,Main Street,"Explosion heard near Main Street, now there's a massive fire! People are running."
2026-08-07 14:57:37,@user5642,Old Town,"Lost dog found near Old Town, please share!"
2026-08-07 14:58:22,@user9817,Suburbs,Roof collapsed at the construction site in Suburbs. Multiple workers trapped and injured.
2026-08-07 14:59:04,@user3409,Main Street,Terrible multi-car crash at Main Street. At least 3 people look badly injured. Send ambulances! #accident
2026-08-07 14:59:24,@user2283,Industrial District,Massive food poisoning outbreak at the festival in Industrial District. Dozens of people need hospitalization.
2026-08-07 14:59:46,@user2621,Suburbs,Cyclist hit by a truck at the intersection of Suburbs. Looks really bad. @Medical
2026-08-07 15:00:43,@user3919,Route 66,Massive food poisoning outbreak at the festival in Route 66. Dozens of people need hospitalization.
2026-08-07 15:01:35,@user2632,Main Street,Small electrical fire started at the bakery in Main Street. Needs putting out.
2026-08-07 15:02:17,@user6435,Downtown,Brush fire spreading fast near Downtown due to the high winds. @FireDept
2026-08-07 15:03:14,@user7934,Westside,"Car on fire on Westside, traffic is completely stopped. Send firetrucks!"
