Disaster_Event,Disaster_Type,Slow_Departments,Needed_Priority,Critical_Lesson
"2015 Tamil Nadu, Rajasthan, Jharkhand, Assam, Andhra Pradesh, Himachal Pradesh, Nagaland; Maharashtra, Bihar, Madhya Pradesh, Chhattisgarh, Telangana, Jharkand, Odisha states Drought",Drought,Police,Police / Evacuation,"Widespread displacement (330000000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2002 Uttar Pradesh, Madhya Pradesh, Rajasthan, Punjab, Haryana, Delhi, Karnataka, Kerala, Nagaland, Orissa, Chhattisgarh, Himachal Pradesh, Gujarat, Maharashtra, Andhra Pradesh, Tamil Nadu provinces Drought",Drought,Police,Police / Evacuation,"Widespread displacement (300000000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1987 Gujarat, Rajasthan, Orissa, Madhya Pradesh, Andhra Pradesh, Maharashtra Drought",Drought,Police,Police / Evacuation,"Widespread displacement (300000000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
1972 Central Drought,Drought,Police,Police / Evacuation,"Widespread displacement (200000000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1993 Punjab, Haryana, Himachal Pradesh, Gujarat, Jammu and Kashmir, Rajasthan, Madhya Pradesh, Chandigarh, Assam states Flood",Flood,Police,Police / Evacuation,"Widespread displacement (128000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
1965 Nationwide except south Drought,Drought,Police,Police / Evacuation,"Widespread displacement (100000000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1982 districts of Bhiwani, Gurgaon, Hisar, Mahendargarh, and Rohtak, Kerala, Tami Nadu, Rajasthan Drought",Drought,Police,Police / Evacuation,"Widespread displacement (100000000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2000 New Delhi city (Delhi province), Gujarat, Rajasthan, Madhya Prasdesh, Andhra Pradesh, Orissa, Maharashtra provinces Drought",Drought,Police,Police / Evacuation,"Widespread displacement (50000000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2002 Barpeta, Bongaigaon, Cachar, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Karimganj, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Nalbari, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Araria, Begusarai, Bhagalpur, Darbhanga, Gopalganj, Katihar, Khagaria, Kishanganj, Madhepura, Madhubani, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Pruba Champaran, Purnia, Saharsa, Samastipur, Saran, Sheikhpura, Sheohar, Sitamarhi, Siwan, Supaul districts (Bihar province), Lahul and Spiti district (Himachal Pradesh province), Balaghat district (Madhya Pradesh province), Tehri Garhwal district (Uttarakhand province), Adilabad, Khammam, Karimnagar districts (Andhra Pradesh province), Jalpaiguri, Kochbihar, Darjiling districts (West Bengal province), Meghalaya, Tripura, Arunachal Pradesh, Gujarat, Kerala, Manipur, Maharashrta provinces Flood",Flood,Police,Police / Evacuation,"Widespread displacement (42000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1975 Northwest, Bihar Flood",Flood,Police,Police / Evacuation,"Widespread displacement (34000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
1982 Northeast Flood,Flood,Police,Police / Evacuation,"Widespread displacement (33500000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2004 Darbhanga, Madhubani, Sitamarhi, Banka, Bhagalpur, Muzaffarpur, Sheohar districts (Bihar province), West Tripura, South Tripura districts (Tripura province), Kamrup, Nalbari, Darrang, Sonitpur, Dhemaji, Lakhimpur districts (Assam province), Gujarat, Jammu and Kashmir provinces Flood",Flood,Police,Police / Evacuation,"Widespread displacement (33000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1995 Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states Flood",Flood,Police,Police / Evacuation,"Widespread displacement (32704000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1978 North, Northeast Flood",Flood,Police,Police / Evacuation,"Widespread displacement (32000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1980 Uttar Pradesh, Bihar, Gujarat, Kerala, Haryana Flood",Flood,Police,Police / Evacuation,"Widespread displacement (30000023 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1997 Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Gujarat, Himachal Pradesh, Jammu and Kashmir, Karnataka, Kerala, Maharashtra, Madyha Pradesh, Orissa, Punjab, Rajasthan, Sikkim, Uttar Pradesh, West Bengal states Flood",Flood,Police,Police / Evacuation,"Widespread displacement (29259000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1998 Assam, Arunachal, Bihar, Kerala, Meghalaya, Punjab, Sikkim, Uttar Pradesh, West Bengal states Flood",Flood,Police,Police / Evacuation,"Widespread displacement (29227200 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1979 Uttar Pradesh, Bihar, West Bengal Flood",Flood,Police,Police / Evacuation,"Widespread displacement (26000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2000 Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province) Flood",Flood,Police,Police / Evacuation,"Widespread displacement (24600000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
